# time,	x,	y,	z,	vx,	vy,	vz,	yaw
0.0,	0, 	0, 	-1, 	0, 	0, 	0,	0

0.1, 	1,	0, 	-1, 	0, 	0, 	0,	0

0.2, 	0,	0, 	-1, 	0, 	0, 	0,	0
0.9,  	0, 	0, 	-1, 	0, 	0, 	0,	0

1.0, 	0, 	-1,	-1, 	0, 	0, 	0,	0

1.1, 	0, 	0, 	-1, 	0, 	0, 	0,	0
1.8, 	0, 	0, 	-1, 	0, 	0, 	0,	0

1.9, 	-0.7, -0.7, -1, 	0, 	0, 	0,	0

2.0, 	0, 	0, 	-1, 	0, 	0, 	0,	0
2.7, 	0, 	0, 	-1, 	0, 	0, 	0,	0

3.0, 	0, 	0, 	-1, 	0, 	0, 	0,	1.57
3.2, 	0, 	0, 	-1, 	0, 	0, 	0,	3.14
3.6, 	0, 	0, 	-1, 	0, 	0, 	0,	-1.57
3.9, 	0, 	0, 	-1, 	0, 	0, 	0,	0
