# time,	x,	y,	z,	vx,	vy,	vz,	yaw
2.0,	0, 	0, 	-1, 	0, 	0, 	0,	0
3.0,	3, 	0, 	-1, 	0, 	0, 	0,	0

4.0, 	3, 	0, 	-1, 	0, 	0, 	0,	1.57
5.0, 	3, 	3, 	-1, 	0, 	0, 	0,	1.57
6.0, 	3, 	3, 	-1, 	0, 	0, 	0,	3.14
7.0, 	-3,	3, 	-1, 	0, 	0, 	0,	3.14
8.0, 	-3,	3, 	-1, 	0, 	0, 	0,	-1.57
9.0, 	-3,	-3,	-1, 	0, 	0, 	0,	-1.57
10.0, 	-3,	-3,	-1, 	0, 	0, 	0,	0
11.0, 	3,	-3,	-1, 	0, 	0, 	0,	0
12.0, 	3,	-3,	-1, 	0, 	0, 	0,	1.57

13.0, 	3, 	3, 	-1, 	0, 	0, 	0,	1.57
14.0, 	3, 	3, 	-1, 	0, 	0, 	0,	3.14
15.0, 	-3,	3, 	-1, 	0, 	0, 	0,	3.14
16.0, 	-3,	3, 	-1, 	0, 	0, 	0,	-1.57
17.0, 	-3,	-3,	-1, 	0, 	0, 	0,	-1.57
18.0, 	-3,	-3,	-1, 	0, 	0, 	0,	0
19.0, 	3,	-3,	-1, 	0, 	0, 	0,	0
20.0, 	3,	-3,	-1, 	0, 	0, 	0,	1.57
