time, Quad.GPS.X
0.105000,0.929727
0.205000,-0.850958
0.305000,-0.294957
0.404998,0.645136
0.504997,-0.905452
0.604996,-0.284799
0.704994,0.275242
0.804993,0.895340
0.904992,-0.066554
1.004991,-0.078277
1.104996,0.694012
1.205000,-0.048308
1.305005,0.607203
1.405010,-0.699893
1.505014,0.150923
1.605019,0.018051
1.705024,0.292904
1.805028,-0.729315
1.905033,-0.011043
2.005037,0.544841
2.105030,-0.793384
2.205023,-0.124104
2.305015,1.235501
2.405008,-0.553989
2.505001,-0.173242
2.604994,0.654722
2.704986,-0.093617
2.804979,0.320963
2.904972,-0.336351
3.004965,0.796486
3.104957,-0.426171
3.204950,-0.207079
3.304943,-1.281046
3.404936,0.301649
3.504928,-1.102452
3.604921,-0.815081
3.704914,-0.315503
3.804907,0.773314
3.904899,-0.124395
4.004892,-0.277000
4.104885,-0.704622
4.204878,-0.603972
4.304871,0.683626
4.404863,0.324294
4.504856,0.753511
4.604849,-0.654474
4.704842,-0.444870
4.804834,1.085022
4.904827,0.235427
5.004820,0.300620
5.104813,0.434123
5.204805,-0.477872
5.304798,-1.190558
5.404791,1.511909
5.504784,-0.935580
5.604776,0.524514
5.704769,-0.829663
5.804762,0.894660
5.904755,0.964950
6.004747,0.311942
6.104740,-0.537205
6.204733,0.567483
6.304726,0.376941
6.404718,1.460568
6.504711,-1.056944
6.604704,1.148714
6.704697,-0.201780
6.804689,-0.872117
6.904682,1.044538
7.004675,0.244460
7.104668,0.191833
7.204660,0.202335
7.304653,-0.435591
7.404646,-0.622557
7.504639,-0.066338
7.604631,0.665648
7.704624,-0.438065
7.804617,0.320995
7.904610,0.140703
8.004604,1.233368
8.104645,-0.167830
8.204685,-2.065399
8.304726,-0.608244
8.404766,-1.550528
8.504807,0.768245
8.604847,0.344085
8.704887,-0.403152
8.804928,-0.686329
8.904968,-0.477703
9.005009,-0.699417
9.105049,1.402682
9.205090,-0.958189
9.305130,-0.454965
9.405170,-0.554054
